Location,Lat,Lon
Blmngtn,42.056390,-93.637980
Blueste,42.009449,-93.646683
BrDale,42.026798,-93.620178
BrkSidem,42.026798,-93.620178
ClearCr,41.841890,-93.262140
CollgCr,42.020380,-93.662370
Crawfor,42.028042,-93.607140
Edwards,42.026800,-93.620180
Gilbert,42.026798,-93.620178
IDOTRR,42.826240,-95.799390
MeadowVm,41.571400,-95.869873
Mitchel,42.026800,-93.620180
Names,42.837170,-95.799520
NoRidge,42.048000,-93.648033
NPkVill,42.026800,-93.620180
NridgHt,42.059730,-93.651880
NWAmes,42.026800,-93.620180
OldTown,42.056210,-93.594299
SWISU,42.030540,-93.643260
Sawyer,42.026800,-93.620180
SawyerW,40.982840,-93.201850
Somerst,42.049770,-93.639473
StoneBr,42.059521,-93.633362
Timber,41.999600,-93.649650
Veenker,42.026800,-93.620180
